feature_set,auc,ci95_lower,ci95_upper,chance_auc,low_detectability_threshold,clear_difference_threshold,interpretation,n_participants,cross_validation,important_limit
technical_quality,0.994876,0.9910142,0.9977069000000001,0.5,0.6,0.7,clearly_distinguishable,1000,5x5-fold stratified,Chance-level AUC does not prove equality; it only shows this simple model could not separate cohorts.
attention_pattern,0.551648,0.5138573,0.5869695,0.5,0.6,0.7,low_detectability,1000,5x5-fold stratified,Chance-level AUC does not prove equality; it only shows this simple model could not separate cohorts.
