name	mean	std	eyes	mouth	secs	config
clin_anchor	0.6713	0.0149	0.444	0.899	179	{"feat": "regasym", "geo_encoder": "mlp", "loss": "corn", "ls": 0.1, "per_region_geo": true, "pr_marlin": {"eyes": 128, "mouth": 768, "binary": 256}, "drop_marlin": true, "trunk_layers": 3, "dropout": 0.3, "weight_decay": 0.1, "temporal_hidden": 768, "temporal_out": 512}
clin_lweyes5	0.6758	0.0228	0.448	0.903	197	{"feat": "regasym", "geo_encoder": "mlp", "loss": "corn", "ls": 0.1, "per_region_geo": true, "pr_marlin": {"eyes": 128, "mouth": 768, "binary": 256}, "drop_marlin": true, "trunk_layers": 3, "dropout": 0.3, "weight_decay": 0.1, "temporal_hidden": 768, "temporal_out": 512, "lw_eyes": 0.5}
clin_lweyes6	0.6748	0.0182	0.453	0.897	229	{"feat": "regasym", "geo_encoder": "mlp", "loss": "corn", "ls": 0.1, "per_region_geo": true, "pr_marlin": {"eyes": 128, "mouth": 768, "binary": 256}, "drop_marlin": true, "trunk_layers": 3, "dropout": 0.3, "weight_decay": 0.1, "temporal_hidden": 768, "temporal_out": 512, "lw_eyes": 0.6, "lw_mouth": 0.2}
clin_do2	0.6711	0.0127	0.451	0.891	332	{"feat": "regasym", "geo_encoder": "mlp", "loss": "corn", "ls": 0.1, "per_region_geo": true, "pr_marlin": {"eyes": 128, "mouth": 768, "binary": 256}, "drop_marlin": true, "trunk_layers": 3, "dropout": 0.2, "weight_decay": 0.1, "temporal_hidden": 768, "temporal_out": 512}
clin_do35_wd05	0.6668	0.0134	0.436	0.898	162	{"feat": "regasym", "geo_encoder": "mlp", "loss": "corn", "ls": 0.1, "per_region_geo": true, "pr_marlin": {"eyes": 128, "mouth": 768, "binary": 256}, "drop_marlin": true, "trunk_layers": 3, "dropout": 0.35, "weight_decay": 0.05, "temporal_hidden": 768, "temporal_out": 512}
clin_cap512_lweyes5	0.6731	0.0109	0.429	0.917	139	{"feat": "regasym", "geo_encoder": "mlp", "loss": "corn", "ls": 0.1, "per_region_geo": true, "pr_marlin": {"eyes": 128, "mouth": 768, "binary": 256}, "drop_marlin": true, "trunk_layers": 3, "dropout": 0.3, "weight_decay": 0.1, "temporal_hidden": 512, "temporal_out": 384, "lw_eyes": 0.5}
clin_eyewide	0.6710	0.0060	0.437	0.905	158	{"feat": "regasym", "geo_encoder": "mlp", "loss": "corn", "ls": 0.1, "per_region_geo": true, "pr_marlin": {"eyes": 256, "mouth": 768, "binary": 256}, "drop_marlin": true, "trunk_layers": 3, "dropout": 0.3, "weight_decay": 0.1, "temporal_hidden": 768, "temporal_out": 512, "lw_eyes": 0.5}
